Наименование^Смеситель для раковины Ledeme  L71003,Категория^smesiteli,Артикул^L71003,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для раковины,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,images_path^./images/smesiteli//L71003/smesitel-dlya-rakoviny-ledeme-l71003020.jpg
Наименование^Смеситель для кухни Ledeme  L74998A-3,Категория^smesiteli,Артикул^L74998A-3,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,images_path^./images/smesiteli//L74998A-3/smesitel-dlya-kukhni-ledeme-l74998a-3020.jpg
Наименование^Смеситель для кухни Ledeme  L74998A-4,Категория^smesiteli,Артикул^L74998A-4,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,images_path^./images/smesiteli//L74998A-4/smesitel-dlya-kukhni-ledeme-l74998a-4020.jpg
Наименование^Смеситель для кухни Ledeme H04 L4904,Категория^smesiteli,Артикул^L4904,Коллекция^H04,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4904/smesitel-ledeme-h04-l49041.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040011.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040021.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040031.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040041.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040051.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040061.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040071.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040081.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040091.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040101.jpg,./images/smesiteli//L4904/smesitel-dlya-kukhni-ledeme-l49040301.jpg"
Наименование^Смеситель для кухни Ledeme H63 L4963,Категория^smesiteli,Артикул^L4963,Коллекция^H63,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4963/smesitel-ledeme-h63-l49631.jpg,./images/smesiteli//L4963/smesitel-dlya-kukhni-ledeme-l4963030.jpg"
Наименование^Смеситель для кухни Ledeme H50 L4950,Категория^smesiteli,Артикул^L4950,Коллекция^H50,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4950/smesitel-ledeme-h50-l49501.jpg,./images/smesiteli//L4950/smesitel-ledeme-h50-l4950-v-interere1.jpg,./images/smesiteli//L4950/smesitel-dlya-kukhni-ledeme-l4950030.jpg"
Наименование^Смеситель для кухни Ledeme H64 L4964,Категория^smesiteli,Артикул^L4964,Коллекция^H64,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4964/smesitel-ledeme-h64-l49641.jpg,./images/smesiteli//L4964/smesitel-dlya-kukhni-ledeme-l4964030.jpg"
Наименование^Смеситель для кухни Ledeme H56 L4956,Категория^smesiteli,Артикул^L4956,Коллекция^H56,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4956/smesitel-ledeme-h56-l49561.jpg,./images/smesiteli//L4956/smesitel-dlya-kukhni-ledeme-l4956030.jpg"
Наименование^Смеситель для кухни Ledeme H19 L4219-2,Категория^smesiteli,Артикул^L4219-2,Коллекция^H19,Размеры (см.)^–x–x– см.,Материал^Латунь,Цвет^Хром,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4219-2/smesitel-ledeme-h19-l4219-21.jpg,./images/smesiteli//L4219-2/smesitel-dlya-kukhni-ledeme-l4219-2030.jpg"
Наименование^Смеситель для кухни Ledeme H41 L4941,Категория^smesiteli,Артикул^L4941,Коллекция^H41,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4941/smesitel-ledeme-h41-l494111.jpg,./images/smesiteli//L4941/smesitel-dlya-kukhni-ledeme-l49410301.jpg"
Наименование^Смеситель для кухни Ledeme H19 L4819,Категория^smesiteli,Артикул^L4819,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4819/smesitel-ledeme-h19-l48191.jpg,./images/smesiteli//L4819/smesitel-dlya-kukhni-ledeme-l4819030.jpg"
Наименование^Смеситель для кухни Ledeme H19 L5819-2,Категория^smesiteli,Артикул^L5819-2,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5819-2/smesitel-ledeme-h19-l5819-21.jpg,./images/smesiteli//L5819-2/smesitel-dlya-kukhni-ledeme-l5819-2030.jpg"
Наименование^Смеситель для душа Ledeme H14-B L2014-B,Категория^smesiteli,Артикул^L2014-B,Коллекция^H14-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для душа,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Без излива,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Силумин,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2014-B/smesitel-ledeme-h14-b-l2014-b1.jpg,./images/smesiteli//L2014-B/smesitel-dlya-dusha-ledeme-l2014-b030.jpg"
Наименование^Смеситель для кухни Ledeme H19-1 L4219-1,Категория^smesiteli,Артикул^L4219-1,Коллекция^H19-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Матовый хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4219-1/smesitel-ledeme-h19-1-l4219-11.jpg,./images/smesiteli//L4219-1/smesitel-dlya-kukhni-ledeme-l4219-1030.jpg"
Наименование^Смеситель для раковины Ledeme H22 L1122-2,Категория^smesiteli,Артикул^L1122-2,Коллекция^H22,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L1122-2/smesitel-ledeme-h22-l1122-21.jpg,./images/smesiteli//L1122-2/smesitel-dlya-rakoviny-ledeme-l1122-2030.jpg"
Наименование^Кран для холодной воды Ledeme  L4795,Категория^smesiteli,Артикул^L4795,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для раковины,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4795/smesitel-dlya-rakoviny-ledeme-l47950011.jpg,./images/smesiteli//L4795/smesitel-dlya-rakoviny-ledeme-l47950021.jpg"
Наименование^Смеситель для раковины Ledeme H28 L1028,Категория^smesiteli,Артикул^L1028,Коллекция^H28,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1028/smesitel-ledeme-h28-l10281.jpg,./images/smesiteli//L1028/smesitel-dlya-rakoviny-ledeme-l1028030.jpg"
Наименование^Локтевой смеситель для кухни Ledeme H79 L4579-2,Категория^smesiteli,Артикул^L4579-2,Коллекция^H79,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,"Особенности^С аэратором, Локтевые хирургические",Материал^Латунь,"images_path^./images/smesiteli//L4579-2/smesitel-ledeme-h79-l4579-21.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-2001.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20021.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20031.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20041.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20051.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20061.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20071.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20081.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20091.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20101.jpg,./images/smesiteli//L4579-2/smesitel-dlya-kukhni-ledeme-l4579-20301.jpg"
Наименование^Смеситель Ledeme H03W L4903W,Категория^smesiteli,Артикул^L4903W,Коллекция^H03W,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,"Цвет^Хром, Белый/хром, Белые",Высота излива^Средний,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w020.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0011.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w030.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0021.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0031.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0041.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0051.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0061.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0071.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0081.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0091.jpg,./images/smesiteli//L4903W/smesitel-dlya-kukhni-ledeme-l4903w0101.jpg"
Наименование^Смеситель для кухни Ledeme H15 L4115,Категория^smesiteli,Артикул^L4115,Коллекция^H15,Размеры (см.)^–x–x– см.,Материал^Латунь,Цвет^Хром,Гарантийный срок^1 год,Страна^Китай China,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4115/smesitel-ledeme-h15-l41151.jpg,./images/smesiteli//L4115/smesitel-dlya-kukhni-ledeme-l4115030.jpg"
Наименование^Смеситель для кухни Ledeme H13 L4113,Категория^smesiteli,Артикул^L4113,Коллекция^H13,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4113/smesitel-ledeme-h13-l41131.jpg,./images/smesiteli//L4113/smesitel-dlya-kukhni-ledeme-l4113030.jpg"
Наименование^Смеситель для кухни Ledeme H11 L4311-2,Категория^smesiteli,Артикул^L4311-2,Коллекция^H11,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4311-2/smesitel-ledeme-h11-l4311-211.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-2001.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20021.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20031.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20041.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20051.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20061.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20071.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20081.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20091.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20101.jpg,./images/smesiteli//L4311-2/smesitel-dlya-kukhni-ledeme-l4311-20301.jpg"
Наименование^Смеситель для кухни Ledeme H16 L4116,Категория^smesiteli,Артикул^L4116,Коллекция^H16,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4116/smesitel-ledeme-h16-l41161.jpg,./images/smesiteli//L4116/smesitel-dlya-kukhni-ledeme-l4116030.jpg"
Наименование^Смеситель для душа Ledeme H38-B L2038-B,Категория^smesiteli,Артикул^L2038-B,Коллекция^H38-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для душа,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Без излива,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Силумин,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2038-B/smesitel-ledeme-h38-b-l2038-b1.jpg,./images/smesiteli//L2038-B/smesitel-dlya-dusha-ledeme-l2038-b030.jpg"
Наименование^Смеситель для кухни Ledeme H40 L4540-2,Категория^smesiteli,Артикул^L4540-2,Коллекция^H40,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4540-2/smesitel-ledeme-h40-l4540-211.jpg,./images/smesiteli//L4540-2/smesitel-dlya-kukhni-ledeme-l4540-2030.jpg"
Наименование^Смеситель для раковины Ledeme H11 L1111-2,Категория^smesiteli,Артикул^L1111-2,Коллекция^H11,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1111-2/smesitel-ledeme-h11-l1111-21.jpg,./images/smesiteli//L1111-2/smesitel-ledeme-h11-l1111-2-v-interere1.jpg,./images/smesiteli//L1111-2/smesitel-dlya-rakoviny-ledeme-l1111-2030.jpg"
Наименование^Смеситель для кухни Ledeme H57 L4957,Категория^smesiteli,Артикул^L4957,Коллекция^H57,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4957/smesitel-ledeme-h57-l49571.jpg,./images/smesiteli//L4957/smesitel-ledeme-h57-l4957-chertezh1.jpg"
Наименование^Локтевой смеситель для кухни Ledeme H79 L4979,Категория^smesiteli,Артикул^L4979,Коллекция^H79,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,"Особенности^С аэратором, Локтевые хирургические",Материал^Латунь,"images_path^./images/smesiteli//L4979/smesitel-ledeme-h79-l49791.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-11.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-21.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-31.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-41.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-51.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-61.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-71.jpg,./images/smesiteli//L4979/smesitel-ledeme-h79-l4979_foto-81.jpg,./images/smesiteli//L4979/smesitel-dlya-kukhni-ledeme-l4979030.jpg"
Наименование^Смеситель для кухни Ledeme H03 L5803,Категория^smesiteli,Артикул^L5803,Коллекция^H03,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5803/smesitel-ledeme-h03-l58031.jpg,./images/smesiteli//L5803/smesitel-dlya-kukhni-ledeme-l5803030.jpg"
Наименование^Смеситель для биде Ledeme H03 L5003,Категория^smesiteli,Артикул^L5003,Коллекция^H03,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для биде,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5003/smesitel-ledeme-h03-l50031.jpg,./images/smesiteli//L5003/smesitel-dlya-bide-ledeme-l5003030.jpg"
Наименование^Смеситель для кухни Ledeme H10 L5810,Категория^smesiteli,Артикул^L5810,Коллекция^H10,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5810/smesitel-ledeme-h10-l58101.jpg,./images/smesiteli//L5810/smesitel-dlya-kukhni-ledeme-l5810030.jpg"
Наименование^Смеситель для кухни Ledeme H40 L4940,Категория^smesiteli,Артикул^L4940,Коллекция^H40,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4940/smesitel-ledeme-h40-l494011.jpg,./images/smesiteli//L4940/smesitel-dlya-kukhni-ledeme-l49400301.jpg"
Наименование^Смеситель для кухни Ledeme H22 L4822,Категория^smesiteli,Артикул^L4822,Коллекция^H22,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4822/smesitel-ledeme-h22-l48221.jpg,./images/smesiteli//L4822/smesitel-ledeme-h22-l4822-v-interere1.jpg,./images/smesiteli//L4822/smesitel-dlya-kukhni-ledeme-l4822030.jpg"
